,0
396,-0.0039006112972698975
397,-0.005335440673602372
398,-0.007459602384444945
399,-0.00971407310634711
400,-0.00786696875029243
401,-0.011383283708218808
402,-0.006134831035200992
403,-0.007124208001684823
404,-0.0021446321389963995
405,0.0018572546786245756
406,-0.0047140362860073285
407,-0.0023581032732800534
408,-0.0015141769244168945
409,-0.0029851016015277764
410,-0.0057235363182935334
411,-0.00017446066319786518
412,0.006832598957338369
413,0.005988740472489393
414,0.00832427731941911
415,0.008895625898890216
416,0.0038125514655196545
417,0.007784922681272813
418,0.007333551021330188
419,0.010203362319559938
420,0.00458612640324075
421,0.0033006767432525877
422,0.0013615109834612497
423,-0.0034447212788308885
424,-0.007534588564394929
425,0.0020504111948676175
426,0.003341601152399568
427,0.0012354772587001293
428,0.00024382790357128383
429,-0.004858903385831588
430,-0.0010751459224816401
431,-0.0012397905162903427
432,0.005170929572319187
433,0.0017634077768623635
434,0.008193792243357834
435,0.011756329143624244
436,0.012570077058841044
437,0.011566743516582071
438,0.010455829295086792
439,0.00721719673589496
440,0.003650872614726154
441,0.0010050304905248433
442,0.00025468989510317593
443,-0.0015534867956330228
444,0.006708303579118678
445,-0.0013475807645584555
446,-0.0024251743233256627
447,-0.005715128627506871
448,-0.005719944911542692
449,0.0005385267745892837
450,0.0015433111544525414
451,-0.0008394990619073044
452,-0.006843064448945063
453,-0.0048754248797100936
454,-0.007395458929863104
455,-0.011500009330491907
456,-0.006947431805385795
457,-0.0022213616194796315
458,-0.004889970145006027
459,0.0002387490789935668
460,-0.008325585023207831
461,-0.004753257608903806
462,-0.00244516421168112
463,-0.005931136449542288
464,-0.000316948522409883
465,-0.005381512812771076
466,-0.009940857869140065
467,-0.009084395680867241
468,-0.008713802173901318
469,-0.009150905545968452
470,-0.009674520503356208
471,-0.002162931308080521
472,-0.0036890101472943225
473,-0.0027661829580761152
474,-0.006883413131722908
475,-0.006713466867226445
476,-0.00021097626299221336
477,-0.002684202226681736
478,-0.007468480928522983
479,-0.005451727710492314
480,-0.0066082503563825185
481,-0.004488326888502126
482,-0.0030673180675902974
483,-0.003251671243891308
484,-0.004166135165525803
485,0.00032520997208386286
486,-0.0017517145601670108
487,-0.004376999352697313
488,-0.004098098712048843
